yyyy-mm-dd, hh:mm:ss.ss, lat, lon, depth, ML, Nsta, RMS, intensity, induced, locality
2015-01-20, 21:50:56.3, 53.340, -2.769, 6.9, 0.8, 5, 0.3, , , RUNCORN,CHESHIRE
2015-01-20, 23:16:12.0, 52.564, -1.913, 7.7, 0.8, 5, 0.3, , , WALSALL,WEST MIDLANDS
2015-01-22, 00:42:20.2, 49.146, -3.733, 9.4, 1.4, 4, 0.4, , , ENGLISH CHANNEL
2015-01-24, 19:50:17.2, 55.788, -6.355, 7.4, 1.6, 7, 0.4, 3 , , ISLAY,ARGYLL & BUTE
2015-01-27, 18:30:17.6, 51.072, -1.299, 3.0, 2.9, 14, 0.4, 3 , , WINCHESTER,HAMPSHIRE
2015-01-28, 06:49:31.6, 54.683, -2.667, 5.3, 0.6, 5, 0.3, , , PENRITH,CUMBRIA
2015-01-28, 22:25:53.7, 52.727, -0.717, 3.2, 3.8, 29, 0.4, 4 , , OAKHAM,RUTLAND
2015-01-30, 16:25:40.8, 51.069, -1.289, 4.5, 1.8, 7, 0.1, 3 , , WINCHESTER,HAMPSHIRE
2015-02-07, 02:38:17.1, 49.805, -4.682, 2.6, 1.9, 5, 0.3, , , ENGLISH CHANNEL
2015-02-07, 06:12:04.9, 49.792, -4.700, 3.6, 1.2, 4, 0.2, , , ENGLISH CHANNEL
2015-02-07, 06:27:48.6, 49.804, -4.684, 3.3, 1.7, 4, 0.3, , , ENGLISH CHANNEL
2015-02-07, 06:32:00.9, 49.794, -4.718, 3.8, 1.3, 4, 0.4, , , ENGLISH CHANNEL
2015-02-09, 11:56:51.5, 54.243, -2.610, 12.2, 2.0, 9, 0.2, , , KIRKBY LONSDALE,CUMBRIA
2015-02-10, 01:15:17.0, 53.505, -2.452, 8.9, 0.9, 7, 0.2, , , LEIGH,GTR MANCHESTER
2015-02-10, 21:20:50.8, 53.109, -3.155, 4.2, 0.2, 4, 0.3, , , MOLD,FLINTSHIRE
2015-02-11, 23:12:13.8, 56.988, -5.845, 6.6, 1.1, 8, 0.4, 2 , , MALLAIG,HIGHLAND
2015-02-13, 21:02:27.1, 54.151, -2.861, 7.5, 0.7, 6, 0.2, , , SILVERDALE,LANCASHIRE
2015-02-14, 21:40:16.8, 52.991, -4.370, 18.6, 0.8, 6, 0.1, , , LLEYN PENINSULA
2015-02-14, 21:40:25.2, 53.006, -4.361, 20.7, 0.9, 7, 0.1, , , LLEYN PENINSULA
2015-02-15, 20:23:27.4, 57.403, -5.713, 7.8, 2.1, 10, 0.2, 2 , , STRATHCARRON,HIGHLAND
2015-02-16, 21:03:50.9, 56.709, -5.736, 7.8, 0.6, 4, 0.2, , , ACHARACLE,HIGHLAND
2015-02-17, 20:15:53.1, 54.149, -2.863, 8.4, 1.1, 7, 0.3, , , SILVERDALE,LANCASHIRE
2015-02-21, 02:51:55.9, 56.244, -5.413, 4.9, 0.5, 6, 0.3, , , KILMELFORD,ARGYLL/BUTE
2015-02-21, 18:04:43.4, 52.781, -1.092, 2.8, 1.4, 7, 0.4, 2 , , LOUGHBOROUGH,LEICS
2015-02-22, 15:55:31.2, 53.078, -2.852, 8.8, 1.4, 7, 0.2, , , FARNDON,CHESHIRE
2015-02-25, 10:41:24.9, 51.636, -3.594, 4.8, 2.0, 12, 0.3, 3 , , BLAENGARW,BRIDGEND
2015-02-25, 13:25:31.2, 52.213, -2.498, 4.0, 2.1, 14, 0.4, , , BROMYARD,HEREFORDSHIRE
2015-02-25, 21:19:38.8, 53.479, -2.607, 7.7, 0.6, 6, 0.2, , , GOLBORNE,GTR MANCHESTER
2015-02-25, 22:55:07.6, 49.094, -2.379, 12.9, 3.0, 18, 0.5, 3 , , JERSEY,CHANNEL ISLANDS
2015-02-25, 23:35:17.5, 49.087, -2.370, 9.2, 0.7, 3, 0.3, , , JERSEY,CHANNEL ISLANDS
2015-02-27, 01:28:31.4, 54.546, -3.345, 6.0, 0.8, 6, 0.2, , , BUTTERMERE,CUMBRIA
2015-02-27, 15:57:48.9, 55.310, -3.139, 6.4, 0.5, 4, 0.0, , , ESKDALEMUIR,D & G
2015-02-28, 02:22:47.2, 49.119, -2.376, 12.4, 0.6, 5, 0.0, , , JERSEY,CHANNEL ISLANDS
2015-03-01, 18:05:55.5, 53.097, -2.894, 4.7, 0.5, 6, 0.4, , , ROSSETT,WREXHAM
2015-03-05, 06:18:16.7, 58.026, -3.464, 3.8, 2.1, 8, 0.3, , , MORAY FIRTH
2015-03-07, 01:24:48.1, 56.258, -3.737, 6.9, 1.3, 10, 0.3, 2 , , BLACKFORD,PERTH/KINROSS
2015-03-10, 17:02:08.8, 55.177, -4.029, 2.6, 0.8, 10, 0.5, , , MONIAIVE,D & G
2015-03-13, 12:27:57.5, 56.789, -5.685, 8.7, 1.4, 5, 0.1, 2 , , ACHARACLE,HIGHLAND
2015-03-13, 17:03:52.7, 54.985, -1.902, 2.5, 1.0, 5, 0.2, , , PRUDHOE,NORTHUMBERLAND
2015-03-13, 17:30:27.4, 56.006, -5.010, 8.1, 1.0, 6, 0.3, , , DUNOON,ARGYLL & BUTE
2015-03-14, 20:53:55.1, 57.385, -5.702, 3.2, 1.3, 5, 0.1, , , PLOCKTON,HIGHLAND
2015-03-15, 00:12:04.9, 57.377, -5.667, 5.3, 0.6, 6, 0.2, , , PLOCKTON,HIGHLAND
2015-03-15, 12:06:06.1, 57.374, -5.721, 4.4, 0.5, 4, 0.2, , , PLOCKTON,HIGHLAND
2015-03-16, 23:16:02.2, 57.306, -5.588, 5.4, 1.0, 6, 0.4, , , PLOCKTON,HIGHLAND
2015-03-17, 06:24:16.3, 55.756, -5.280, 7.7, 0.6, 5, 0.1, , , ARRAN,NORTH AYRSHIRE
2015-03-18, 23:43:50.8, 53.412, -4.456, 3.2, 0.3, 4, 0.0, , , CEMAES,ANGLESEY
2015-03-19, 11:12:43.5, 56.985, -5.842, 5.8, 0.8, 4, 0.2, , , MALLAIG,HIGHLAND
2015-03-21, 05:41:51.3, 56.988, -5.803, 7.5, 0.5, 5, 0.3, , , MALLAIG,HIGHLAND
2015-03-21, 11:46:23.6, 54.265, -3.113, 10.4, 1.9, 13, 0.3, , , ULVERSTON,CUMBRIA
2015-03-21, 17:24:16.5, 56.462, -6.042, 8.1, 1.4, 8, 0.4, , , MULL,ARGYLL & BUTE
2015-03-24, 08:44:36.0, 52.145, -3.025, 10.1, 1.1, 5, 0.0, , , KINGTON,HEREFORDSHIRE
2015-03-27, 11:58:11.3, 53.697, -1.122, 0.9, 1.9, 6, 0.4, 2 , , HENSALL,N YORKSHIRE
2015-03-27, 20:55:26.7, 56.530, -4.435, 4.1, 0.8, 5, 0.4, , , KILLIN,STIRLING
2015-03-27, 21:35:49.1, 51.832, -2.369, 6.1, 0.7, 8, 0.2, , , GLOUCESTER,GLOS
2015-04-02, 16:50:45.4, 56.789, -5.566, 11.0, 2.2, 10, 0.3, 3 , , STRONTIAN,HIGHLAND
2015-04-03, 06:21:54.4, 52.467, -0.181, 8.4, 2.2, 9, 0.3, 3 , , PETERBOROUGH,CAMBS
2015-04-04, 13:56:53.8, 59.213, -1.055, 10.8, 1.7, 5, 0.2, , , NORTHERN NORTH SEA
2015-04-06, 02:55:27.9, 53.050, -3.117, 12.9, 1.5, 12, 0.3, , , COEDPOETH,WREXHAM
2015-04-06, 05:05:21.9, 56.251, -5.423, 5.3, 0.9, 8, 0.2, , , KILMELFORD,ARGYLL/BUTE
2015-04-07, 19:03:11.7, 60.305, 1.812, 11.2, 2.2, 7, 0.3, , , NORTHERN NORTH SEA
2015-04-09, 23:48:37.3, 53.697, -1.122, 0.8, 1.2, 7, 0.6, 2 , , HENSALL,N YORKSHIRE
2015-04-10, 05:05:36.6, 49.420, -2.714, 6.0, 0.8, 6, 0.1, , , GUERNSEY,CHANNEL ISLES
2015-04-13, 22:08:26.5, 52.096, -2.587, 13.2, 1.1, 6, 0.2, , , HEREFORD,HEREFORDSHIRE
2015-04-16, 00:05:24.4, 53.357, -0.698, 9.5, 0.9, 5, 0.3, , , GAINSBOROUGH,LINCS
2015-04-17, 06:51:01.1, 53.323, -2.775, 7.5, 1.1, 8, 0.2, , , RUNCORN,CHESHIRE
2015-04-20, 14:24:24.8, 56.150, -5.342, 3.5, 1.5, 6, 0.2, , , KILMARTIN,ARGYLL/BUTE
2015-04-23, 18:19:02.3, 51.654, 0.677, 6.6, 1.9, 5, 0.1, , , NORTH FAMBRIDGE,ESSEX
2015-04-27, 18:31:04.4, 55.387, -3.015, 2.8, 0.7, 6, 0.1, , , CRAIK,BORDERS
2015-05-06, 13:25:10.1, 56.559, -5.553, 5.3, 1.3, 3, 0.1, , , MORVERN,HIGHLAND
2015-05-11, 02:16:49.2, 55.091, -3.668, 3.7, 1.4, 10, 0.3, , , DUMFRIES,D & G
2015-05-11, 18:55:32.0, 54.154, -2.908, 1.7, 1.7, 8, 0.2, , , KENTS BANK,CUMBRIA
2015-05-12, 06:02:21.6, 56.670, -4.492, 2.5, 1.3, 5, 0.3, , , LOCH RANNOCH,PERTHSHIRE
2015-05-12, 22:13:51.4, 52.999, -2.413, 7.1, 0.4, 4, 0.1, , , AUDLEM,CHESHIRE EAST
2015-05-14, 12:38:38.3, 54.354, -3.111, 4.4, 1.4, 7, 0.1, , , CONISTON,CUMBRIA
2015-05-14, 20:35:35.2, 50.504, -5.280, 11.4, 1.4, 6, 0.3, , , NEWQUAY,CORNWALL
2015-05-16, 02:31:35.3, 52.790, -2.712, 15.9, 0.9, 5, 0.2, , , SHREWSBURY,SHROPS
2015-05-20, 02:05:45.5, 56.831, -5.882, 7.9, 1.5, 9, 0.3, , , SMIRISARY,HIGHLAND
2015-05-20, 17:41:45.6, 51.887, -2.937, 21.8, 0.8, 5, 0.2, , , PANDY,MONMOUTHSHIRE
2015-05-20, 22:29:31.6, 55.130, -3.665, 8.0, 0.7, 6, 0.2, , , DUMFRIES, D & G
2015-05-22, 01:52:17.9, 51.304, 1.438, 12.1, 4.2, 29, 0.6, 5 , , RAMSGATE,KENT
2015-05-22, 20:08:21.5, 55.153, -3.670, 5.8, 0.7, 4, 0.2, , , DUMFRIES,D & G
2015-05-24, 06:17:30.8, 56.828, -5.905, 7.5, 0.6, 7, 0.3, , , SMIRISARY,HIGHLAND
2015-05-24, 12:34:56.1, 51.257, -3.442, 7.2, 0.8, 6, 0.3, , , BRISTOL CHANNEL
2015-05-24, 15:24:10.2, 57.323, -3.839, 3.7, 0.7, 8, 0.2, , , CARRBRIDGE,HIGHLAND
2015-05-26, 01:35:50.5, 52.704, -0.734, 3.1, 0.8, 5, 0.3, , , OAKHAM,RUTLAND
2015-05-26, 15:41:03.8, 53.116, -4.358, 9.7, 3.0, 16, 0.4, 3 , , CAERNARFON,GWYNEDD
2015-05-27, 01:22:03.4, 51.612, -3.111, 5.7, 0.7, 5, 0.1, , , RISCA,CAERPHILLY
2015-05-27, 08:54:26.3, 56.829, -5.937, 7.5, 0.8, 5, 0.3, , , SMIRISARY,HIGHLAND
2015-05-30, 18:09:48.0, 53.991, -1.882, 7.4, 1.7, 8, 0.3, , , SKIPTON,N YORKSHIRE
2015-05-30, 19:20:12.8, 54.332, -1.862, 11.9, 2.6, 12, 0.3, 3 , , BELLERBY,N YORKSHIRE
2015-05-31, 16:19:43.7, 56.411, -6.049, 7.9, 0.8, 5, 0.2, , , MULL,ARGYLL & BUTE
2015-06-01, 03:36:13.7, 53.217, -4.707, 15.2, 0.6, 7, 0.3, , , CAERNARFON BAY,GWYNEDD
2015-06-05, 00:30:08.3, 52.838, -2.131, 7.8, 0.3, 5, 0.4, , , STAFFORD,STAFFS
2015-06-07, 15:14:17.5, 52.993, -2.783, 3.0, 0.7, 7, 0.2, , , MALPAS,CHESHIRE
2015-06-10, 13:03:03.1, 51.062, -4.714, 23.3, 2.0, 8, 0.3, , , BRISTOL CHANNEL
2015-06-12, 03:54:52.2, 53.345, -2.777, 4.8, 0.7, 5, 0.3, , , WIDNES,CHESHIRE
2015-06-12, 09:38:35.7, 51.714, -4.159, 6.0, 1.8, 7, 0.3, , , LLANELLI,CARMARTHS
2015-06-13, 07:03:05.2, 55.954, -6.279, 9.0, 1.1, 6, 0.4, , , COLONSAY,ARGYLL & BUTE
2015-06-15, 17:19:34.9, 54.527, -3.681, 5.0, 1.2, 13, 0.3, , , IRISH SEA
2015-06-15, 23:50:02.8, 53.161, -3.979, 9.9, 0.7, 6, 0.1, , , BETHESDA,GWYNEDD
2015-06-16, 16:02:43.5, 53.558, -1.656, 11.8, 1.8, 6, 0.1, , , PENISTONE,S YORKSHIRE
2015-06-19, 13:02:56.2, 56.276, -5.877, 2.5, 1.4, 8, 0.2, , , MULL,ARGYLL & BUTE
2015-06-25, 11:16:25.6, 52.995, -2.778, 2.8, 1.1, 7, 0.2, , , MALPAS,CHESHIRE
2015-06-26, 01:00:40.0, 53.046, -5.187, 10.1, 0.7, 4, 0.1, , , IRISH SEA
2015-06-26, 11:55:06.4, 53.319, -3.327, 5.6, 1.9, 14, 0.3, , , HOLYWELL,FLINTSHIRE
2015-06-27, 01:34:47.5, 52.885, -1.663, 7.7, 1.1, 8, 0.4, , , DERBY,DERBYSHIRE
2015-06-28, 05:04:23.7, 57.183, -5.698, 4.1, 0.9, 5, 0.2, , , LOCH HOURN,HIGHLAND
2015-06-28, 12:00:32.5, 56.640, -5.491, 12.9, 0.6, 4, 0.1, , , STRONTIAN,HIGHLAND
2015-06-30, 07:46:36.5, 55.809, -3.166, 7.9, 1.0, 5, 0.2, , , PENICUIK,MIDLOTHIAN
2015-06-30, 07:59:17.7, 53.320, 2.599, 18.0, 2.9, 13, 0.3, , , SOUTHERN NORTH SEA
2015-06-30, 08:35:42.5, 54.772, -3.297, 7.8, 0.6, 5, 0.2, , , ASPATRIA,CUMBRIA
2015-07-01, 00:45:59.8, 56.652, -5.531, 7.9, 0.5, 4, 0.2, , , STRONTIAN,HIGHLAND
2015-07-01, 11:27:29.1, 57.398, -5.832, 9.4, 0.8, 5, 0.3, , , APPLECROSS,HIGHLAND
2015-07-07, 01:11:37.5, 57.159, -5.727, 4.6, 0.9, 6, 0.3, , , LOCH HOURN,HIGHLAND
2015-07-09, 05:12:19.4, 55.984, -11.890, 21.3, 1.9, 7, 0.4, , , ATLANTIC,NW OF IRELAND
2015-07-10, 14:40:55.8, 52.793, -0.929, 6.3, 1.0, 6, 0.3, , , MELTON MOWBRAY,LEICS
2015-07-10, 22:40:01.8, 62.735, 2.235, 26.4, 3.2, 14, 0.3, , , NORTHERN NORTH SEA
2015-07-12, 03:49:24.9, 49.249, -1.842, 4.5, 1.3, 7, 0.1, 2 , , JERSEY,CHANNEL ISLES
2015-07-17, 09:58:56.1, 54.701, -3.045, 5.3, 1.6, 8, 0.2, , , CALDBECK,CUMBRIA
2015-07-17, 22:57:30.4, 54.453, -2.958, 6.7, 1.0, 6, 0.3, , , AMBLESIDE,CUMBRIA
2015-07-18, 04:52:44.4, 53.220, -4.104, 17.7, 0.7, 7, 0.1, , , BANGOR,GWYNEDD
2015-07-20, 22:36:30.2, 56.664, -5.211, 10.8, 1.3, 8, 0.2, 2 , , BALLACHULISH,HIGHLAND
2015-07-22, 19:12:22.0, 50.059, -0.514, 5.5, 1.9, 8, 0.3, , , ENGLISH CHANNEL
2015-07-24, 10:20:28.2, 54.728, -3.147, 4.4, 1.0, 6, 0.2, , , WIGTON,CUMBRIA
2015-07-24, 12:58:27.2, 54.209, -3.978, 2.5, 1.4, 11, 0.3, , , IRISH SEA
2015-07-25, 00:10:00.6, 53.787, -2.310, 7.7, 1.3, 4, 0.4, , , BURNLEY,LANCASHIRE
2015-07-26, 00:48:01.8, 56.344, -5.853, 4.5, 1.3, 10, 0.4, , , MULL,ARGYLL & BUTE
2015-07-26, 10:18:07.5, 57.094, -5.744, 4.1, 0.7, 6, 0.4, , , LOCH HOURN,HIGHLAND
2015-07-31, 15:38:15.1, 52.998, -5.352, 10.3, 1.8, 11, 0.1, , , IRISH SEA
2015-08-01, 21:04:52.3, 57.685, -5.698, 2.5, 0.7, 7, 0.5, , , BADACHRO,HIGHLAND
2015-08-01, 23:21:05.3, 53.679, -2.366, 9.9, 0.7, 6, 0.2, , , HELMSHORE,LANCASHIRE
2015-08-02, 03:42:27.7, 51.729, -4.019, 7.5, 1.3, 10, 0.3, , , PONTARDDULAIS,SWANSEA
2015-08-04, 23:19:38.2, 55.790, -5.305, 6.7, 0.9, 7, 0.2, , , SKIPNESS,ARGYLL & BUTE
2015-08-04, 23:54:19.8, 54.926, -2.618, 4.2, 0.8, 7, 0.2, , , BRAMPTON,CUMBRIA
2015-08-06, 15:03:59.3, 53.176, 2.168, 4.1, 4.1, 44, 0.6, 3 , , SOUTHERN NORTH SEA
2015-08-09, 08:07:39.1, 54.978, -2.195, 3.5, 1.2, 8, 0.3, , , HEXHAM,NORTHUMBERLAND
2015-08-09, 23:19:36.0, 55.807, -6.448, 7.1, 0.9, 3, 0.4, , , ISLAY,ARGYLL & BUTE
2015-08-11, 09:06:02.9, 53.012, -4.378, 10.7, 1.2, 10, 0.2, , , LLEYN PENINSULA
2015-08-12, 10:26:28.3, 58.625, -4.893, 7.7, 1.2, 5, 0.4, , , DURNESS,HIGHLAND
2015-08-12, 11:59:52.6, 58.629, -4.892, 7.9, 1.3, 6, 0.4, , , DURNESS,HIGHLAND
2015-08-16, 14:54:57.2, 57.491, -5.259, 11.2, 1.6, 8, 0.2, , , ACHNASHEEN,HIGHLAND
2015-08-17, 17:37:14.2, 56.002, -4.882, 9.2, 0.6, 7, 0.4, , , LOCH LONG,ARGYLL/BUTE
2015-08-19, 22:50:51.5, 56.572, -4.310, 3.5, 0.8, 6, 0.2, , , GLEN LYON,PERTH/KINROSS
2015-08-23, 22:43:54.8, 52.946, -4.402, 19.3, 0.7, 7, 0.2, , , LLEYN PENINSULA
2015-08-26, 17:29:36.8, 59.046, 1.782, 10.0, 2.2, 6, 0.4, , , NORTHERN NORTH SEA
2015-09-04, 03:23:50.9, 54.178, -2.917, 5.6, 0.9, 6, 0.2, , , KENTS BANK,CUMBRIA
2015-09-04, 18:14:40.2, 51.843, -2.876, 17.7, 0.8, 6, 0.2, , , CROSS ASH,MONMOUTHSHIRE
2015-09-07, 09:45:23.7, 51.259, -3.473, 8.4, 0.9, 5, 0.5, , , BRISTOL CHANNEL
2015-09-07, 12:15:53.3, 54.521, -5.986, 3.3, 0.8, 3, 0.4, , , DRUMBEG,COUNTY DOWN
2015-09-07, 17:22:27.2, 57.190, -5.737, 2.5, 0.8, 5, 0.3, , , SKYE,HIGHLAND
2015-09-08, 23:35:15.5, 57.199, -5.696, 6.1, 0.7, 6, 0.3, , , SKYE,HIGHLAND
2015-09-11, 10:44:54.7, 55.812, -3.823, 7.5, 1.1, 11, 0.2, , , SHOTTS,N LANARKSHIRE
2015-09-12, 02:00:42.8, 53.145, -4.466, 7.7, 1.7, 12, 0.2, 3 , , CAERNARFON BAY,GWYNEDD
2015-09-18, 22:31:23.7, 55.813, -4.587, 7.8, 0.5, 4, 0.2, , , HOWWOOD,RENFREWSHIRE
2015-09-19, 01:30:37.7, 53.523, -4.450, 13.1, 0.8, 9, 0.2, , , IRISH SEA
2015-09-19, 20:08:28.6, 53.944, -5.037, 5.0, 0.5, 8, 0.4, , , IRISH SEA
2015-09-21, 18:17:33.3, 54.779, -2.836, 7.7, 0.4, 6, 0.2, , , CALTHWAITE,CUMBRIA
2015-09-22, 21:40:11.0, 52.705, -0.718, 2.5, 2.8, 22, 0.6, 3 , , OAKHAM,RUTLAND
2015-09-25, 11:22:57.0, 55.139, -3.883, 4.1, 0.9, 8, 0.4, , , MONIAIVE,D & G
2015-09-25, 19:52:19.1, 51.875, -1.769, 10.5, 1.0, 5, 0.2, , , BOURTON'WATER,GLOS
2015-09-27, 02:49:38.8, 52.370, -3.115, 13.8, 0.5, 6, 0.2, , , KNIGHTON,POWYS
2015-09-27, 22:33:35.5, 49.981, -5.384, 6.8, 1.1, 4, 0.2, , , MOUNT'S BAY,CORNWALL
2015-09-30, 02:06:44.5, 52.822, -3.282, 8.8, 0.7, 7, 0.1, , , PENYBONTFAWR,POWYS
2015-09-30, 05:04:47.0, 56.267, -5.903, 3.6, 0.9, 6, 0.0, , , MULL,ARGYLL & BUTE
2015-09-30, 05:16:54.4, 56.262, -5.909, 4.8, 0.9, 6, 0.1, , , MULL,ARGYLL & BUTE
2015-10-01, 22:06:33.8, 53.153, -4.324, 7.0, 0.4, 5, 0.1, , , NEWBOROUGH,ANGLESEY
2015-10-03, 03:27:21.7, 57.098, -5.356, 8.0, 0.6, 4, 0.2, , , KINLOCH HOURN,HIGHLAND
2015-10-03, 18:36:16.0, 54.742, -3.651, 2.5, 0.2, 5, 0.2, , , SOLWAY FIRTH
2015-10-04, 02:22:54.3, 55.868, -5.408, 7.7, 1.1, 10, 0.3, , , TARBERT,ARGYLL & BUTE
2015-10-05, 02:53:38.4, 51.663, -3.163, 2.2, 1.0, 5, 0.2, , , NEWBRIDGE,CAERPHILLY
2015-10-05, 03:09:23.7, 55.721, -5.478, 10.7, 0.7, 5, 0.1, , , CLACHAN,ARGYLL & BUTE
2015-10-05, 03:44:59.1, 51.660, -3.160, 2.8, 1.4, 8, 0.2, , , NEWBRIDGE,CAERPHILLY
2015-10-05, 09:54:39.6, 51.651, -3.145, 2.2, 0.8, 5, 0.2, , , NEWBRIDGE,CAERPHILLY
2015-10-08, 22:04:22.2, 55.135, -3.889, 4.2, 1.2, 10, 0.3, 3 , , MONIAIVE,D & G
2015-10-10, 12:28:01.0, 57.117, -5.341, 9.7, 0.5, 5, 0.2, , , KINLOCH HOURN,HIGHLAND
2015-10-10, 23:45:54.4, 55.774, -5.296, 8.0, 0.4, 6, 0.3, , , SKIPNESS,ARGYLL & BUTE
2015-10-11, 02:46:05.5, 53.569, 2.204, 6.5, 2.1, 4, 0.3, , , SOUTHERN NORTH SEA
2015-10-11, 21:02:47.4, 57.193, -5.679, 3.6, 0.6, 5, 0.1, , , LOCH HOURN,HIGHLAND
2015-10-13, 00:27:12.6, 53.039, -3.732, 10.7, 0.4, 8, 0.2, , , PENTREFOELAS,CONWY
2015-10-16, 00:21:18.0, 51.672, -3.168, 2.4, 0.9, 8, 0.3, , , NEWBRIDGE,CAERPHILLY
2015-10-16, 06:29:01.4, 57.195, -5.682, 2.5, 0.7, 5, 0.2, , , LOCH HOURN,HIGHLAND
2015-10-18, 00:39:24.7, 55.742, -5.447, 7.0, 0.4, 7, 0.3, , , CLACHAN,ARGYLL & BUTE
2015-10-18, 23:50:00.0, 50.432, -5.071, 6.6, 1.0, 4, 0.3, , , NEWQUAY,CORNWALL
2015-10-19, 05:25:40.4, 56.661, -5.178, 7.5, 0.2, 4, 0.3, , , BALLACHULISH,HIGHLAND
2015-10-22, 23:59:44.6, 54.588, -2.940, 4.2, 0.7, 7, 0.2, , , DOCKRAY.CUMBRIA
2015-10-24, 07:18:08.3, 52.986, -2.383, 10.5, 1.4, 8, 0.2, , , MADELEY,STAFFORDSHIRE
2015-10-25, 12:33:56.2, 55.597, -3.234, 2.5, 1.4, 9, 0.2, , , PEEBLES,BORDERS
2015-10-27, 07:16:33.9, 56.365, -5.468, 3.6, 0.4, 5, 0.1, , , OBAN,ARGYLL & BUTE
2015-10-28, 17:32:37.5, 53.224, 0.458, 12.9, 1.5, 5, 0.1, , , SKEGNESS,LINCOLNSHIRE
2015-10-29, 04:51:00.9, 55.704, -5.311, 7.7, 0.5, 5, 0.3, , , ARRAN,NORTH AYRSHIRE
2015-10-29, 05:38:06.7, 54.345, -2.216, 7.5, 0.5, 4, 0.2, , , HAWES,NORTH YORKSHIRE
2015-10-30, 22:56:14.8, 56.714, -6.425, 2.5, 1.6, 7, 0.5, , , COLL,ARGYLL & BUTE
2015-11-01, 03:07:04.3, 52.910, -3.404, 15.5, 0.3, 6, 0.1, , , LLANDRILLO,DENBIGHSHIRE
2015-11-02, 14:31:38.2, 52.987, -5.510, 9.2, 1.1, 11, 0.4, , , IRISH SEA
2015-11-03, 06:23:53.6, 51.020, -2.605, 4.2, 1.1, 7, 0.2, , , ILCHESTER,SOMERSET
2015-11-03, 07:22:19.9, 55.719, -5.501, 11.9, 0.6, 6, 0.2, , , CLACHAN,ARGYLL & BUTE
2015-11-09, 00:02:39.6, 51.075, -4.762, 20.9, 1.1, 6, 0.2, , , BRISTOL CHANNEL
2015-11-13, 15:47:08.2, 56.094, -6.035, 7.3, 0.9, 5, 0.2, , , JURA,ARGYLL & BUTE
2015-11-13, 16:43:09.2, 56.005, -5.395, 11.5, 0.9, 6, 0.2, , , KILMORY,ARGYLL & BUTE
2015-11-17, 03:03:56.7, 55.913, -3.958, 7.5, 0.8, 8, 0.3, , , WATTSTON,N LANARKSHIRE
